       0. 0.016702 0.409093  1.796257
      -1. 0.017161 0.411353  1.497928
      -2. 0.017497 0.413555  1.200024
      -3. 0.017846 0.415639  0.903494
      -4. 0.018211 0.417555  0.611381
      -5. 0.018453 0.419247  0.315537
      -6. 0.018748 0.420667  0.024574
      -7. 0.018937 0.421777  6.018641
      -8. 0.019180 0.422536  5.727245
      -9. 0.019325 0.422918  5.438355
     -10. 0.019425 0.422906  5.153373
     -11. 0.019597 0.422486  4.863458
     -12. 0.019613 0.421658  4.579432
     -13. 0.019651 0.420436  4.292347
     -14. 0.019679 0.418835  4.008446
     -15. 0.019635 0.416887  3.722754
     -16. 0.019560 0.414634  3.436730
     -17. 0.019487 0.412123  3.153957
     -18. 0.019347 0.409413  2.867643
     -19. 0.019223 0.406577  2.581401
     -20. 0.019003 0.403677  2.298390
     -21. 0.018835 0.400800  2.011218
     -22. 0.018617 0.398027  1.725907
     -23. 0.018341 0.395433  1.440528
     -24. 0.018095 0.393101  1.155332
     -25. 0.017868 0.391108  0.871267
     -26. 0.017507 0.389510  0.584745
     -27. 0.017279 0.388368  0.305683
     -28. 0.016967 0.387721  0.022732
     -29. 0.016652 0.387589  6.025904
     -30. 0.016366 0.387985  5.751164
     -31. 0.016045 0.388898  5.477444
     -32. 0.015778 0.390297  5.203395
     -33. 0.015450 0.392148  4.939585
     -34. 0.015175 0.394391  4.673811
     -35. 0.014942 0.396955  4.413764
     -36. 0.014652 0.399776  4.157362
     -37. 0.014424 0.402768  3.904722
     -38. 0.014271 0.405849  3.657791
     -39. 0.014039 0.408943  3.409936
     -40. 0.013929 0.411970  3.170194
     -41. 0.013824 0.414853  2.932976
     -42. 0.013735 0.417532  2.693921
     -43. 0.013719 0.419940  2.461693
     -44. 0.013706 0.422025  2.232153
     -45. 0.013793 0.423749  1.995683
     -46. 0.013843 0.425073  1.768670
     -47. 0.013987 0.425972  1.537222
     -48. 0.014182 0.426440  1.304062
     -49. 0.014385 0.426465  1.073563
     -50. 0.014600 0.426058  0.836897
     -51. 0.014958 0.425238  0.604692
     -52. 0.015217 0.424028  0.363900
     -53. 0.015571 0.422461  0.124322
     -54. 0.015961 0.420580  6.167286
     -55. 0.016330 0.418427  5.919504
     -56. 0.016739 0.416056  5.671141
     -57. 0.017156 0.413520  5.424311
     -58. 0.017605 0.410873  5.166306
     -59. 0.018044 0.408178  4.912434
     -60. 0.018469 0.405491  4.653930
     -61. 0.018983 0.402868  4.391777
     -62. 0.019417 0.400368  4.128445
     -63. 0.019863 0.398044  3.862876
     -64. 0.020389 0.395941  3.594203
     -65. 0.020822 0.394106  3.325378
     -66. 0.021311 0.392575  3.051216
     -67. 0.021793 0.391374  2.780612
     -68. 0.022294 0.390526  2.504542
     -69. 0.022777 0.390046  2.228120
     -70. 0.023280 0.389932  1.953704
     -71. 0.023790 0.390186  1.675703
     -72. 0.024345 0.390792  1.397883
     -73. 0.024808 0.391730  1.121880
     -74. 0.025408 0.392974  0.844311
     -75. 0.025952 0.394494  0.566673
     -76. 0.026470 0.396251  0.290968
     -77. 0.027078 0.398211  0.014260
     -78. 0.027646 0.400331  6.022758
     -79. 0.028209 0.402568  5.746006
     -80. 0.028805 0.404882  5.473026
     -81. 0.029404 0.407229  5.199177
     -82. 0.029987 0.409563  4.923816
     -83. 0.030581 0.411843  4.652867
     -84. 0.031158 0.414026  4.379335
     -85. 0.031800 0.416068  4.106402
     -86. 0.032347 0.417934  3.834395
     -87. 0.032938 0.419586  3.562441
     -88. 0.033598 0.420989  3.289834
     -89. 0.034106 0.422116  3.017579
